questionText,correctOption,wrongOption,difficulty
1 にち は なんじかん？,24 じかん,12 じかん,0 
1 ねん は なんかげつ？,12 かげつ,24 かげつ,0 
おおきい のは どっち？,13,12,0 
おおもじ は どっち？,A,a,0 
きた に あるのは どっち？,ほっかいどう,おきなわ,0 
にほん の しゅと は どっち？,とうきょう,おおさか,0 
ポップコーン の げんりょう は どっち？,とうもろこし,だいず,0 
まる は どっち？,○,□,0 
ゆき は どっち？,Snow,Rain,0 
いちご は どっち？,Strawberry,Raspberry,0 
「あ」は どっち？,ア,マ,1 
0.5 + 0.5 = ？,1,0.10,1 
いぬ は どっち？,Dog,God,1 
えと に いないのは どっち？,ネコ,イヌ,1 
おおきい のは どっち？,1/2,1/3,1 
カタカナ は どっち？,カ,か,1 
とどうふけん は いくつ？,47,43,1 
にし に あるのは どっち？,おおさか,とうきょう,1 
ほっきょく に いるのは どっち？,ホッキョクグマ,ペンギン,1 
10 に なるのは どっち？,2 + 2 + 2 + 2 + 2,2 + 2 + 2 + 2,1 
1 メートル は なん センチメートル？,100\nセンチ\nメートル,1000\nセンチ\nメートル,2 
うるうどし は なんにち？,366 にち,364 にち,2 
おいしい のは どっち？,ピザ,ヒジ,2 
じつざい するのは どっち？,ニンテンドー\n2DS,ニンテンドー\n4DS,2 
「し」は どっち？,シ,ツ,2 
たいよう が しずむ のは どっち？,にし,ひがし,2 
みぎ は どっち？,Right,Left,2 
スーパーマン の しゅっぱんしゃ は どっち？,DC,Marvel,2 
スパイダーマン の しゅっぱんしゃ は どっち？,Marvel,DC,2 
10 に なるのは どっち？,3 + 7,2 + 9,2 
「エル」は どっち？,l,1,3 
「はち」は どっち？,8,B,3 
7 * 9 = ？,63,65,3 
いろ の さんげんしょく は どっち？,シアン\nマゼンタ\nイエロー,レッド\nグリーン\nブルー,3 
すいようび は どっち？,Wednesday,Thursday,3 
タコ の しんぞう は いくつ？,3,2,3 
みず は どっち？,H2O,CO2,3 
「わ」は どっち？,ワ,ク,3 
「ん」は どっち？,ン,ソ,3 
1 にち は なんふん？,1440 ふん,1220 ふん,3 
17 は そすう？,そうっす,ちがうっす,4 
10 に なるのは どっち？,(3 + 2) * 2,(2 + 2) * 3,4 
27 は そすう？,ちがうっす,そうっす,4 
「ゆ」は どっち？,ユ,コ,4 
カメ は どっち？,はちゅうるい,りょうせいるい,4 
クジラ は どっち？,ほにゅうるい,ぎょるい,4 
にほん の こくちょう は どっち？,キジ,ツル,4 
パンダ の しっぽ は どっち？,しろい,くろい,4 
スズメ は どっち？,Sparrow,Swallow,4 
まつげ は どっち？,Eyelash,Eyelid,4 
